Hce<sub Align=''right''>m Model And A Comparative Workload Analysis Of Hadoop Cluster</sub>;HCEm model and a comparative workload analysis of Hadoop cluster
<![cdata[a Hardware Accelerator For The Fast Retrieval Of Dialign Biological Sequence Alignments In Linear Space]]>;A Hardware Accelerator for the Fast Retrieval of DIALIGN Biological Sequence Alignments in Linear Space
Cooperative And Out-of-core Execution Of The Irregular Wavefront Propagation Pattern On Hybrid Machines With Intel ®</sup> Xeon Phi-;Cooperative and out-of-core execution of the irregular wavefront propagation pattern on hybrid machines with Intel Xeon Phi
Numerical Solution Of Rothenberg's Equation Of The Glottal Airflow Rate As A Function Of The Glottal Area Using Backward Differentiation (l);Numerical Solution Of Rothenbergs Equation Of The Glottal Airflow Rate As A Function Of The Glottal Area Using Backward Differentiation (l)
Prediction Of The Paraguay River Level's Time Series Using Neural Network;Prediction Of The Paraguay River Levels Time Series Using Neural Network
Higher-order Unification: A Structural Relation Between Huet's Method And The One Based On Explicit Substitutions (comunicado Por Dov M. Gabbay);Higher-order Unification: A Structural Relation Between Huets Method And The One Based On Explicit Substitutions (comunicado Por Dov M. Gabbay)
A Formalization Of Newman's And Yokouchi's Lemmas In A Higher-order Language;A Formalization Of Newmans And Yokouchis Lemmas In A Higher-order Language
"A Resolution-based Theorem Prover For $${&#09;extsf {k}}_{n}^{}$$kn: Architecture, Refinements, Strategies And Experiments";A Resolution-Based Theorem Prover for Kn: Architecture, Refinements, Strategies and Experiments
"Assessing Users&#146; Emotion At Interaction Time: A Multimodal Approach With Multiple Sensors";Assessing users emotion at interaction time: a multimodal approach with multiple sensors
"A Formalisation Of Nominal &#945;-equivalence With A, C, And Ac Function Symbols";A Formalisation of Nominal Alpha -equivalence with A and AC Function Symbols
"Face-spoofing 2d-detection Based On Moir&#x00e9;-pattern Analysis";Face-Spoofing 2D-Detection Based on Moire-Pattern Analysis
The Brazilian School Girls? Perspectives On A Computer Science Major;The Brazilian School Girls Perspectives On A Computer Science Major
H? Filtering For Rectangular Discrete-time Descriptor Systems?;H filtering for rectangular discrete-time descriptor systems
Assessing Users? Emotion At Interaction Time: A Multimodal Approach With Multiple Sensors;Assessing users emotion at interaction time: a multimodal approach with multiple sensors
Existence Of A Solution For Beloch?s Fold;Existence of a Solution for Belochs Fold
Brasilia?s Database Administrators;Brasilias Database Administrators
Transforming Open Data To Linked Open Data Using Ontologies For Information Organization In Big Data Environments Of The Brazilian Government: The Brazilian Database Government Open Linked Data ? Dbgoldbr;Transforming Open Data to Linked Open Data Using Ontologies for Information Organization in Big Data Environments of the Brazilian Government: the Brazilian Database Government Open Linked Data – Dbgoldbr
Brazilian School Girls? Perspectives On A Computer Science Major: Mining Association Rules;Brazilian School Girls Perspectives On A Computer Science Major: Mining Association Rules
A Formalisation Of Nominal ? -equivalence With A And Ac Function Symbols;A Formalisation Of Nominal  Alpha-equivalence With A And Ac Function Symbols
Uma Solução Para O Balanceamento De Cargas Em Sistemas Distribuídos Paralelos;Uma Soluçao Para O Balanceamento De Cargas Em Sistemas Distribuidos Paralelos
Meninas.comp: Computação Também É Coisa De Menina;Meninas.comp: Computaçao Tambem e Coisa De Menina
"arizac&#807;a&#771;o Automa&#769;tica De Textos Para Suporte A Aplicac&#807;o&#771;es Sensi&#769;veis Ao Tempo De Resposta': ";Sumarização Automática de Textos para Suporte a Aplicações Sensíveis ao Tempo de Resposta
Randomized Broadcast Protocols For Multi-hop Packet Radio Netwoks;Randomized Broadcast Protocols For Multi-hop Packet Radio Networks.
Randomized Broadcast Protocols for Multi-hop Packet Radio Networks.;Simple Randomized Broadcast Protocols for Multi-hop Packet Radio Networks
Using Ants'behavior Based Simulation Model Antweb To Improve Website Organization;Using Ants behavior Based Simulation Model Antweb To Improve Website Organization
"eninas.comp: Um Relato Da Experie&#770;ncia De Integrac&#807;a&#771;o Entre Alunas E Docentes Do Ensino Me&#769;dio E Da Universidade De Brasi&#769;lia'";Meninas.comp: Um Relato da Experiência de Integração entre Alunas e Docentes do Ensino Médio e da Universidade de Brasília
"Percepc&#807;a&#771;o Das Meninas Do Ensino Me&#769;dio Sobre O Curso De Computac&#807;a&#771;o No Distrito Federal Do Brasil.";Percepção das Meninas do Ensino Médio sobre o Curso de Computação no Distrito Federal do Brasil
Meninas.comp: Computacao Tambem E Coisa De Menina;Meninas.comp: Computacao Tambem É Coisa De Menina
Structuring Performance Management Best Practices For Citizen Assistance Systems In The Public Defender's Office/brazil;Structuring Performance Management Best Practices For Citizen Assistance Systems In The Public Defenders Office/brazil
"Meninas.comp: Um Relato Da Experie&#770;ncia De Integrac&#807;a&#771;o Entre Alunas E Docentes Do Ensino Me&#769;dio E Da Universidade De Brasi&#769;lia";
Efeito Da Quantidade De 'burts' No Pre-processamento Do Sinal De S-emg Dinamico Aplicado Ao Codificador Hevc;Efeito Da Quantidade De burts No Pre-processamento Do Sinal De S-emg Dinamico Aplicado Ao Codificador Hevc
A Tool For Students' Grouping In Classroom;A Tool For Students Grouping In Classroom
Document Classification Using A Bi-lstm To Unclog Brazil's Supreme Court;Document Classification Using A Bi-lstm To Unclog Brazils Supreme Court
The Use Of Functional Data Analysis To Study Variability In Children's Speech;The Use Of Functional Data Analysis To Study Variability In Childrens Speech
Prediction Of The Paraguai River Level's Time Series Using Neural Networks;Prediction Of The Paraguai River Levels Time Series Using Neural Networks
Egalitarian And Prioritized Balancing Distribution Policies Study Using Dinic's Maximum Flow Algorithm;Egalitarian And Prioritized Balancing Distribution Policies Study Using Dinics Maximum Flow Algorithm
Fairness Analysis With Cost Impact For Brasilia's Flight Information Region Using Reinforcement Learning Approach;Fairness Analysis With Cost Impact For Brasilias Flight Information Region Using Reinforcement Learning Approach
Prisoner's Dilemma Game Approach To Decision Optimization In Collaborative Trajectory Options Program;Prisoners Dilemma Game Approach To Decision Optimization In Collaborative Trajectory Options Program
Openstreetmap: Quality Assessment Of Brazil's Collaborative Geographic Data Over Ten Years;Openstreetmap: Quality Assessment Of Brazils Collaborative Geographic Data Over Ten Years
Verification Of Newman's And Yokouchi's Lemmas In Pvs;Verification Of Newman's And Yokouchis Lemmas In Pvs
Antweb - The Adaptive Web Server Based On The Ant´s Behavior;Antweb - The Adaptive Web Server Based On The Ants  Behavior
